	Unnamed: 0	id	like_ratio	dislike_ratio	views_to_days	duration	comment_count	peaks_count	heightxwid	label	comments_sim_score
2470	2470	VdQmdEYl8uo	0.08480176211453745	0.02531645569620253	4.323809523809524	69.0	49	2.0	0.004827585671893701	1.0	0.73908585
2497	2497	z60Wro1yZKU	0.051789077212806026	0.017857142857142856	3.97752808988764	241.0	19	2.0	0.018888559710509224	1.0	0.76662314
2504	2504	KWP75ZSFY6A	0.08947368421052633	0.0	2.4836601307189543	145.0	67	1.0	0.02509950180290105	1.0	0.7070470999999999
2505	2505	hQiMxawHvps	0.01381533502187428	0.047619047619047616	13.200607902735564	178.0	41	1.0	0.07339472841395561	1.0	0.49560547
2533	2533	0-bY_pJU_JY	0.015573026912609615	0.0	38.678362573099406	452.0	226	1.0	0.013974673697061358	1.0	0.64029586
2561	2561	UHk6bWDCz_k	0.06637168141592921	0.0425531914893617	3.2674698795180723	211.0	12	4.0	0.039876808423704564	1.0	0.8118706
2580	2580	r5pZXzMir34	0.08724075743913436	0.12244897959183673	18.95726495726496	759.0	227	1.0	0.04492339782440263	1.0	0.7885300000000001
2620	2620	p_74jinF2dM	0.24081632653061225	0.06349206349206349	1.1778846153846154	30.0	26	1.0	0.06308811774242104	1.0	0.5647578000000001
2640	2640	NCi4s7IXS48	0.05267358339984039	0.10810810810810813	3.940251572327044	637.0	86	2.0	0.009234715976043013	1.0	0.7998367
2646	2646	r18prcRU7nQ	0.05019305019305019	0.018867924528301886	4.078740157480315	792.0	42	1.0	0.018896008658122864	1.0	0.79303473
2689	2689	1VqxYpT9T2M	0.2	0.025	0.7926829268292683	163.0	53	2.0	0.01067345608939885	1.0	0.7799639
2741	2741	SSxajIFx4y4	0.033582089552238806	0.1	1.3778920308483291	446.0	17	6.0	0.006507796905342937	1.0	0.6359594
2748	2748	pTHJSHh22tY	0.023034154090548053	0.03333333333333333	3.0558252427184467	158.0	7	1.0	0.0028756733031192945	1.0	0.72894204
2774	2774	Y9wG5I7qD4g	0.05882352941176471	0.47596899224806205	14.473551637279597	217.0	141	2.0	0.00339043154068172	1.0	0.7897174
2785	2785	3i-QQKbZBno	0.12679425837320574	0.027522935779816515	2.863013698630137	305.0	46	1.0	0.012375640147055209	1.0	0.8693562
2821	2821	pJBEafQ3jXY	0.008122104115562823	0.08024691358024691	6.376433785192909	261.0	127	1.0	0.17908651547324586	1.0	0.51692915
2860	2860	5CZLRkjb_iY	0.17197452229299362	0.027027027027027032	1.2842535787321063	1409.0	91	2.0	0.002309566819986693	1.0	0.83255905
2884	2884	3gPfS_H7nNQ	0.27350427350427353	0.07246376811594203	0.8540145985401459	568.0	45	1.0	0.02307152020882325	1.0	0.7719648
2889	2889	AW761fLioSA	0.003360831041857623	0.36538461538461536	9.414189837008626	458.0	35	1.0	0.012076341360247505	1.0	0.6511154
2964	2964	6FG69HRlK5g	0.0017391304347826088	0.7333333333333333	15.593220338983052	140.0	10	2.0	0.004492148049032961	1.0	0.7561022
2977	2977	28CUC1gLG30	0.001835837480071501	0.16176470588235295	155.6315789473684	438.0	10	3.0	0.0062521195179201655	1.0	0.87493527
3007	3007	S6Q9go7ymv0	0.059574468085106386	0.0	4.462025316455696	524.0	113	1.0	0.14469189489454534	1.0	0.4383061
3020	3020	oBsVz-pqteA	0.005842317653436126	0.08490566037735849	27.12908496732026	582.0	19	1.0	0.024872023278854044	1.0	0.77709335
3028	3028	W1xopWaZAm4	0.07015130674002751	0.009708737864077669	3.625935162094763	1203.0	47	1.0	0.006518910259899247	1.0	0.9015045
3037	3037	hbR563UH_mw	0.011497710028026523	0.07378854625550661	877.74	526.0	2233	1.0	0.0017384417554986856	1.0	0.69709384
3069	3069	rvuS_D563n0	0.016986706056129987	0.0	3.2315035799522667	458.0	15	3.0	0.024117967332046096	1.0	0.9224832000000001
3074	3074	fAts0S0c2Fs	0.010060894890124437	0.02564102564102564	17.732394366197184	165.0	19	2.0	0.028013036762643887	1.0	0.7800533000000001
3138	3138	we5FrwYcKl8	0.05834633385335414	0.0053191489361702135	13.189300411522634	225.0	138	1.0	0.012939735129221846	1.0	0.730088
3141	3141	M4L5Y09e6Ew	0.01555793991416309	0.09375	14.156962025316455	188.0	103	1.0	0.10078382187384737	1.0	0.686905
3143	3143	FEej6Y_oJSw	0.112141652613828	0.00746268656716418	5.607565011820331	182.0	88	3.0	0.00569192178627717	1.0	0.7870845999999999
3149	3149	LLEFQP76_UY	0.0011975689350618244	0.0	100.00299401197606	23.0	15	2.0	0.004101290747916577	1.0	0.6460355
3168	3168	h_LBONqMP2A	0.08398656215005601	0.025974025974025976	2.2325	600.0	63	1.0	0.04581687190127047	1.0	0.7903201999999999
3205	3205	Oxe1v8kfr8o	0.13095238095238096	0.0	0.6379746835443038	862.0	9	1.0	0.02007426932555037	1.0	0.7771929
3213	3213	bmu4IKZRnYg	0.24489795918367346	0.0	0.35125448028673834	388.0	14	1.0	0.12974417573819558	1.0	0.6005768
3216	3216	6BbykJARYno	0.17894736842105266	0.0	0.3877551020408163	187.0	0	1.0	0.043924555947801563	1.0	0.923499
3222	3222	jnXdCEKwKXg	0.09345794392523364	0.0	1.3941368078175895	27.0	51	2.0	0.033387985599643615	1.0	0.5827821999999999
3234	3234	oKhm-1EiS7c	0.09404388714733544	0.0	0.7705314009661836	43.0	11	1.0	0.02426086578448356	1.0	0.76927114
3255	3255	6xRpaIxEHUk	0.1237785016286645	0.061728395061728385	1.7393767705382437	258.0	33	1.0	0.032042046909690265	1.0	0.6040781999999999
3261	3261	Bklj8W7-xL0	0.06802721088435375	0.0	1.5102739726027397	231.0	14	1.0	0.3555625838686412	1.0	0.6941701
3266	3266	MxHHixOVYDM	0.1984126984126984	0.038461538461538464	0.27876106194690264	354.0	19	1.0	0.007511108220059283	1.0	0.65786105
3298	3298	Gp4qLeZLI_s	0.19318181818181815	0.0	0.24512534818941506	15.0	23	1.0	0.011808970012906518	1.0	0.7437100999999999
3313	3313	hVgSQNPngxg	0.006463678719076054	0.005050505050505051	109.24014336917564	181.0	48	1.0	0.03288430713727085	1.0	0.7514899
3340	3340	Izx5VGvF4WA	0.06460674157303371	0.04166666666666666	2.507042253521127	136.0	14	2.0	0.02838648996214716	1.0	0.53356
3410	3410	TjPi_M5Yrzo	0.02079722703639515	0.0	2.622727272727273	421.0	37	1.0	0.01466159784814021	1.0	0.60899866
3451	3451	v63WFiP7TLE	0.21513002364066194	0.07142857142857142	1.047029702970297	1393.0	87	2.0	0.010332813592629112	1.0	0.79695296
3462	3462	Hz7Sz514PcI	0.0016986185871236074	0.2934131736526946	869.9060822898033	218.0	88	3.0	0.0003132357694392592	1.0	0.5975579000000001
3463	3463	-oCnocWcZwU	0.1991150442477876	0.0425531914893617	1.0272727272727271	2262.0	131	2.0	0.008220740721947447	1.0	0.79800296
3470	3470	E1CVdt46QDk	0.0062319469172386534	0.1027003420918553	5619.869318181818	3668.0	745	1.0	0.0005582690707657521	1.0	0.74556834
3519	3519	XpodzrN1THA	0.1650943396226415	0.027777777777777776	0.8060836501901141	238.0	40	1.0	0.11500243010870248	1.0	0.5322585999999999
3569	3569	x2W2IDnKUiY	0.15151515151515152	0.0	0.2661290322580645	15.0	14	1.0	0.1205194372378703	1.0	0.8160798
3589	3589	q2HH9KvYtwQ	0.09836065573770493	0.0	0.7379032258064516	725.0	20	1.0	0.0970289376929272	1.0	0.5203396
3626	3626	HDBwFt0OOIA	0.16891891891891891	0.09420289855072464	2.1958456973293767	225.0	64	2.0	0.0069207008634452755	1.0	0.7989533000000001
3638	3638	w0uXioEvAgQ	0.21392476137001684	0.010389610389610391	6.0784982935153575	135.0	20	1.0	0.016171440578821004	1.0	0.8415554
3694	3694	Z1TbuF4fQpQ	0.02282661486158329	0.0	8.106299212598426	71.0	60	1.0	0.0243529573891094	1.0	0.7160048000000001
3725	3725	Cpmf_DnrcWg	0.05069124423963134	0.07142857142857142	16.741839762611274	155.0	42	1.0	0.022082869501697504	1.0	0.56945026
3753	3753	b0sFYpS-GQM	0.02989536621823617	0.7297297297297297	1.39375	736.0	74	3.0	0.0052086327083477975	1.0	0.6731449
3769	3769	nczqcLXuT4c	0.0043184885290148455	0.3333333333333333	11.261398176291792	231.0	27	1.0	0.013211640847620864	1.0	0.7393987
